"ResourceTypeGeneral","ResourceType","Count"
"text","nonalcoholic fatty liver disease nafld is a common cause of chronic liver  disease worldwide clinically more and more evidences have shown that an increased  portion of nafld will develop to nonalcoholic steatohepatitis nash cirrhosis  and hepatocellular carcinoma perfect early diagnosis and noninvasive screening methods for identifying nafld are very necessary gut microbiome diversity and difference were found to be associated with nafld in multiple studies and gut microbiota could be a sensitive markers for nafld early screening this study the evidence for the role of microbiome in 111 nafld patients and 51 controls",1
"text","noninvasive prenatal testing nipt of recessive monogenic diseases heavily depends on the correct parental haplotypes however familybased genetic haplotyping fbh requires pedigrees and molecular haplotyping remains a major challenge due to its high cost long processing time and complex procedure here we propose a new approach termed populationbased haplotyping nipt pbhnipt using thalassemia as a prototype",1
"text","nonpig farm personnel feces metagenome and pig farm personnel feces metagenome and pig feces metagenome",1
"text","norm",1
"text","normal and inverted cuts of salix matsudana koidz were cultured total rnas of roots and shoots were extracted for transcriptome analysis",1
"text","notated music",1
"text","notebooks",1
"text","noten",1
"text","notes de préparation",1
"text","nous sommes encore loin davoir pleinement réalisé laccès ouvert ao  en 2018 environ un cinquième seulement des nouveaux articles sera librement accessible dès quils seront publiés soit à peu près autant quen 2017  les bibliothécaires les organismes de financement et les négociateurs sont de plus en plus coriaces avec les éditeurs mais les accords de compensation  publish and read  basés sur les frais de publication des articles apc ne permettront pas dassurer un accès ouvert pour tous ni de résoudre la crise des publications en série  les auteurs des déclarations de budapest bethesda et berlin sur lao prévoyaient trois changements avec larrivée dinternet basculer dun obstacle à la lecture abonnements à un obstacle à la publication apc nen faisait pas partie en tant que tel lao ne réduira pas les coûts pour résoudre la crise des publications en série  une transformation numérique de la communication savante basée sur les principes fondateurs dinternet est nécessaire  et si en vertu du principe d échec rapide  en vigueur sur internet les articles étaient dabord consultables sous forme de prépublications avant que sils suscitent lintérêt les éditeurs ninvitent leurs auteurs à les soumettre à leur revue   lobstination avec laquelle on sen tient aux revues traditionnelles pour faire progresser la carrière dun petit nombre de scientifiques les auteurs retarde laccès ouvert pour le plus grand nombre les lecteurs par conséquent une reconfiguration de léconomie de la réputation où les prépublications seraient acceptées pourrait être un catalyseur de laccès ouvert résolvant la crise des publications en série et écartant les revues prédatrices",1
"text","novel scn5a and gpd1l variants identified in two unrelated hanchinese patients with clinically suspected brugada syndrome",1
"text","novel streptococcus sp",1
"text","novel streptococcus sp strain 43",1
"text","nsclc脑脊液ctdna突变检测",1
"text","nthi genome data for healthy children acute pneumonia chronic pneumonia",1
"text","ntm infection",1
"text","numa investigação as opções metodológicas tomamse em função do seu objeto dos seus objetivos e de muitos outros diferentes fatores nem todos com o mesmo grau de importância para o investigador e para a própria investigação fatores como a extensão do estudo o seu custo e o tempo disponível para a sua realização são não raras vezes determinantes nas opções tomadas o inquérito por questionário é uma técnica de recolha de dados que pode ser a solução por excelência nessas alturas com um comportamento camaleónico adaptável às diferentes metodologias cujo nível de resultados não depende de si mesmo mas sim da forma como é construído pelo investigador o inquérito por questionário enquanto instrumento de recolha de dados tem como principal fator atrativo o facto de gastar o mesmo tempo seja qual for o tamanho da amostra de carácter teórico e descritivo baseado no estado da arte e nas impressões retiradas dos trabalhos investigativos dos seus autores este trabalho que não tem qualquer tipo de pretensões de exaustividade quer na descrição quer na reflexão efetuadas tem como objetivo contribuir para uma sistematização dos aspetos ligados à conceção de um inquérito por questionário especialmente orientado para o estudo de contextos educativos",1
